episode;score;step;time;apples;mines;end
1;-0.8699999999999997;12;2.5529305934906006;0.0;0.0;100.0
2;-0.6999999999999997;11;2.242222309112549;0.0;0.0;100.0
3;-0.20999999999999996;14;2.8562543392181396;33.33333333333333;0.0;100.0
4;-0.9299999999999995;16;3.2735424041748047;33.33333333333333;0.0;100.0
5;0.3899999999999999;20;4.078420639038086;60.0;0.0;100.0
6;0.4499999999999996;16;3.2577362060546875;66.66666666666666;0.0;100.0
7;-0.27;18;3.6746599674224854;66.66666666666666;0.0;100.0
8;1.2799999999999994;17;3.4735796451568604;60.0;0.0;100.0
9;0.2999999999999998;11;2.2451045513153076;33.33333333333333;0.0;100.0
10;1.2799999999999998;17;3.464756488800049;75.0;0.0;100.0
11;0.06999999999999973;16;3.2579753398895264;40.0;0.0;100.0
12;-0.55;16;3.2655913829803467;33.33333333333333;0.0;100.0
13;-0.6099999999999999;20;4.0863401889801025;40.0;0.0;100.0
14;0.10999999999999954;18;3.6776373386383057;40.0;0.0;100.0
15;0.06999999999999984;16;3.260223150253296;40.0;0.0;100.0
16;-0.6999999999999997;11;2.250854969024658;0.0;0.0;100.0
17;-0.9299999999999997;16;3.2772059440612793;25.0;0.0;100.0
18;1.1099999999999997;18;3.6875293254852295;75.0;0.0;100.0
19;0.4499999999999996;16;3.2607462406158447;50.0;0.0;100.0
20;0.4499999999999996;16;3.271519184112549;50.0;0.0;100.0
