episode;score;step;time;apples;mines;end
1;-1.0;1;0.3022327423095703;0.0;0.0;0.0
2;-1.17;2;0.40698671340942383;0.0;0.0;0.0
3;-1.0;1;0.20479846000671387;0.0;0.0;0.0
4;-1.0;1;0.2042379379272461;0.0;0.0;0.0
5;-1.0;1;0.20512986183166504;0.0;0.0;0.0
6;-0.6800000000000002;5;1.0222127437591553;33.33333333333333;0.0;0.0
7;-1.0;1;0.2042524814605713;0.0;0.0;0.0
8;-1.17;2;0.40831661224365234;0.0;0.0;0.0
9;-1.17;2;0.40750670433044434;0.0;0.0;0.0
10;-1.17;2;0.4077413082122803;0.0;0.0;0.0
11;-1.0;1;0.20569896697998047;0.0;0.0;0.0
12;-1.0;1;0.20525574684143066;0.0;0.0;0.0
13;-1.0;1;0.20420193672180176;0.0;0.0;0.0
14;-1.0;1;0.20622515678405762;0.0;0.0;0.0
15;-1.0;1;0.20655083656311035;0.0;0.0;0.0
16;-1.17;2;0.4090604782104492;0.0;0.0;0.0
17;-1.0;1;0.2050173282623291;0.0;0.0;0.0
18;-1.0;1;0.20497560501098633;0.0;0.0;0.0
19;-0.6800000000000002;5;1.0196435451507568;25.0;0.0;0.0
20;-1.0;1;0.20341205596923828;0.0;0.0;0.0
