episode;score;step;time;apples;mines;end
1;-0,8699999999999997;12;2,552910327911377;0,0;0,0;100,0
2;-0,6999999999999997;11;2,247846841812134;0,0;0,0;100,0
3;-0,20999999999999996;14;2,8601229190826416;33,33333333333333;0,0;100,0
4;-0,9299999999999995;16;3,2644104957580566;33,33333333333333;0,0;100,0
5;0,3899999999999999;20;4,07831335067749;60,0;0,0;100,0
6;0,4499999999999996;16;3,258284330368042;66,66666666666666;0,0;100,0
7;-0,27;18;3,670151948928833;66,66666666666666;0,0;100,0
8;0,9599999999999997;13;2,6504719257354736;40,0;0,0;100,0
9;0,2999999999999998;11;2,2452311515808105;33,33333333333333;0,0;100,0
10;1,2799999999999998;17;3,4658467769622803;75,0;0,0;100,0
11;0,06999999999999973;16;3,2600104808807373;40,0;0,0;100,0
12;-1,27;18;3,6692957878112793;33,33333333333333;0,0;100,0
13;-0,6099999999999999;20;4,082115173339844;40,0;0,0;100,0
14;0,10999999999999954;18;3,6733949184417725;40,0;0,0;100,0
15;0,06999999999999984;16;3,2613871097564697;40,0;0,0;100,0
16;-0,6999999999999997;11;2,245901346206665;0,0;0,0;100,0
17;-0,9299999999999997;16;3,2657418251037598;25,0;0,0;100,0
18;1,1099999999999997;18;3,6651997566223145;75,0;0,0;100,0
19;0,4499999999999996;16;3,2654550075531006;50,0;0,0;100,0
20;0,38999999999999957;20;4,085263729095459;75,0;0,0;100,0
