episode;score;step;time;apples;mines;end
1;-0,8699999999999997;12;2,5536246299743652;0,0;0,0;100,0
2;-0,7399999999999998;9;1,832819938659668;0,0;0,0;100,0
3;-0,20999999999999996;14;2,8588154315948486;33,33333333333333;0,0;100,0
4;-0,9299999999999995;16;3,2617838382720947;33,33333333333333;0,0;100,0
5;0,3899999999999999;20;4,0760338306427;60,0;0,0;100,0
6;0,4499999999999996;16;3,2609987258911133;66,66666666666666;0,0;100,0
7;-0,27;18;3,676161527633667;66,66666666666666;0,0;100,0
8;0,5599999999999997;19;3,870826244354248;60,0;0,0;100,0
9;-0,7399999999999998;9;1,8327689170837402;0,0;0,0;100,0
10;-0,7399999999999998;9;1,8371379375457764;0,0;0,0;100,0
11;0,06999999999999973;16;3,269292116165161;40,0;0,0;100,0
12;-0,55;16;3,2638471126556396;33,33333333333333;0,0;100,0
13;-0,6099999999999999;20;4,079817771911621;40,0;0,0;100,0
14;0,10999999999999954;18;3,6615893840789795;40,0;0,0;100,0
15;0,06999999999999984;16;3,266305923461914;40,0;0,0;100,0
16;-0,7399999999999998;9;1,8358418941497803;0,0;0,0;100,0
17;-0,9299999999999997;16;3,2649240493774414;25,0;0,0;100,0
18;1,1099999999999997;18;3,6726205348968506;75,0;0,0;100,0
19;0,4499999999999996;16;3,2677130699157715;50,0;0,0;100,0
20;0,4499999999999996;16;3,2643725872039795;50,0;0,0;100,0
