episode;score;step;time;apples;mines;end
1;-0.8699999999999997;12;2.5869479179382324;0.0;0.0;100.0
2;-0.6999999999999997;11;2.2461659908294678;0.0;0.0;100.0
3;-0.20999999999999996;14;2.864521026611328;33.33333333333333;0.0;100.0
4;-0.9299999999999995;16;3.271925449371338;33.33333333333333;0.0;100.0
5;-17.000000000000004;100;20.410019397735596;0.0;0.0;0.0
6;0.4499999999999996;16;3.2704756259918213;66.66666666666666;0.0;100.0
7;-0.27;18;3.675748586654663;66.66666666666666;0.0;100.0
8;0.9599999999999997;13;2.660266160964966;40.0;0.0;100.0
9;0.2999999999999998;11;2.2496893405914307;33.33333333333333;0.0;100.0
10;1.2799999999999998;17;3.478140115737915;75.0;0.0;100.0
11;0.06999999999999973;16;3.2727906703948975;40.0;0.0;100.0
12;-0.55;16;3.268263101577759;33.33333333333333;0.0;100.0
13;-0.6099999999999999;20;4.079443693161011;40.0;0.0;100.0
14;0.10999999999999954;18;3.6756489276885986;40.0;0.0;100.0
15;0.06999999999999984;16;3.2658793926239014;40.0;0.0;100.0
16;-0.6999999999999997;11;2.2503116130828857;0.0;0.0;100.0
17;-17.000000000000004;100;20.423592805862427;0.0;0.0;0.0
18;1.1099999999999997;18;3.6739275455474854;75.0;0.0;100.0
19;0.4499999999999996;16;3.2648990154266357;50.0;0.0;100.0
20;0.4499999999999996;16;3.2727456092834473;50.0;0.0;100.0
