episode;score;step;time;apples;mines;end
1;-0.8699999999999997;12;2.5412657260894775;0.0;0.0;100.0
2;-1.0799999999999996;11;2.243000030517578;0.0;0.0;100.0
3;-0.8699999999999997;12;2.4457638263702393;0.0;0.0;100.0
4;-1.0;1;0.20446109771728516;0.0;0.0;0.0
5;-1.0;1;0.20476913452148438;0.0;0.0;0.0
6;0.12999999999999967;12;2.4448461532592773;33.33333333333333;0.0;100.0
7;-1.0;1;0.2057628631591797;0.0;0.0;0.0
8;0.5799999999999997;13;2.649224281311035;40.0;0.0;100.0
9;0.2999999999999998;11;2.241478443145752;33.33333333333333;0.0;100.0
10;0.8599999999999998;15;3.0577282905578613;75.0;0.0;100.0
11;-1.0;1;0.20550322532653809;0.0;0.0;0.0
12;-1.0;1;0.20503783226013184;0.0;0.0;0.0
13;-1.0;1;0.20499944686889648;0.0;0.0;0.0
14;-0.5899999999999999;14;2.8549466133117676;20.0;0.0;100.0
15;-1.0;1;0.20470523834228516;0.0;0.0;0.0
16;-1.0799999999999996;11;2.242030620574951;0.0;0.0;100.0
17;-1.0;1;0.20556974411010742;0.0;0.0;0.0
18;0.06999999999999984;16;3.260166883468628;50.0;0.0;100.0
19;0.7499999999999997;12;2.4435477256774902;50.0;0.0;100.0
20;-1.0;1;0.20505332946777344;0.0;0.0;0.0
