episode;score;step;time;apples;mines;end
1;-0.8699999999999997;12;2.548243761062622;0.0;0.0;100.0
2;-0.7399999999999998;9;1.8362984657287598;0.0;0.0;100.0
3;-0.20999999999999996;14;2.853583574295044;33.33333333333333;0.0;100.0
4;-1.0;1;0.20476460456848145;0.0;0.0;0.0
5;-1.0;1;0.20506620407104492;0.0;0.0;0.0
6;0.4499999999999996;16;3.2628839015960693;66.66666666666666;0.0;100.0
7;-1.0;1;0.20434236526489258;0.0;0.0;0.0
8;0.5599999999999997;19;3.8730556964874268;60.0;0.0;100.0
9;-0.7399999999999998;9;1.8329968452453613;0.0;0.0;100.0
10;-0.7399999999999998;9;1.8357129096984863;0.0;0.0;100.0
11;-1.0;1;0.20566272735595703;0.0;0.0;0.0
12;-1.0;1;0.2054767608642578;0.0;0.0;0.0
13;-1.0;1;0.20521187782287598;0.0;0.0;0.0
14;0.10999999999999954;18;3.670659065246582;40.0;0.0;100.0
15;-1.0;1;0.20451784133911133;0.0;0.0;0.0
16;-0.7399999999999998;9;1.833444356918335;0.0;0.0;100.0
17;-1.0;1;0.2060871124267578;0.0;0.0;0.0
18;1.1099999999999997;18;3.6616370677948;75.0;0.0;100.0
19;0.4499999999999996;16;3.2561562061309814;50.0;0.0;100.0
20;-1.0;1;0.2047574520111084;0.0;0.0;0.0
