episode;score;step;time;apples;mines;end
1;-0.8699999999999997;12;2.5572891235351562;0.0;0.0;100.0
2;-0.6999999999999997;11;2.2457339763641357;0.0;0.0;100.0
3;-0.20999999999999996;14;2.8557257652282715;33.33333333333333;0.0;100.0
4;-0.5499999999999998;16;3.265493392944336;33.33333333333333;0.0;100.0
5;-17.000000000000004;100;20.39416193962097;0.0;0.0;0.0
6;0.4499999999999996;16;3.264493227005005;66.66666666666666;0.0;100.0
7;0.10999999999999976;18;3.6670501232147217;66.66666666666666;0.0;100.0
8;0.9599999999999997;13;2.6531901359558105;40.0;0.0;100.0
9;0.2999999999999998;11;2.2426092624664307;33.33333333333333;0.0;100.0
10;1.2399999999999998;15;3.0598580837249756;75.0;0.0;100.0
11;0.10999999999999976;18;3.6744349002838135;40.0;0.0;100.0
12;-0.55;16;3.266291379928589;33.33333333333333;0.0;100.0
13;0.10999999999999976;18;3.6731395721435547;40.0;0.0;100.0
14;0.10999999999999954;18;3.6698927879333496;40.0;0.0;100.0
15;0.44999999999999973;16;3.259979486465454;40.0;0.0;100.0
16;-0.6999999999999997;11;2.242799997329712;0.0;0.0;100.0
17;-17.000000000000004;100;20.39753031730652;0.0;0.0;0.0
18;1.1099999999999997;18;3.6740269660949707;75.0;0.0;100.0
19;0.4499999999999996;16;3.266427993774414;50.0;0.0;100.0
20;0.4499999999999996;16;3.267496347427368;50.0;0.0;100.0
