episode;score;step;time;apples;mines;end
1;-1.0;1;0.3010990619659424;0.0;0.0;0.0
2;-1.17;2;0.4073483943939209;0.0;0.0;0.0
3;-1.0;1;0.20345282554626465;0.0;0.0;0.0
4;-1.0;1;0.2042524814605713;0.0;0.0;0.0
5;-1.0;1;0.2049703598022461;0.0;0.0;0.0
6;0.12999999999999967;12;2.4451162815093994;33.33333333333333;0.0;100.0
7;-1.0;1;0.20383167266845703;0.0;0.0;0.0
8;-1.17;2;0.40714478492736816;0.0;0.0;0.0
9;-1.17;2;0.40770959854125977;0.0;0.0;0.0
10;-1.17;2;0.40818071365356445;0.0;0.0;0.0
11;-1.0;1;0.2055675983428955;0.0;0.0;0.0
12;-1.0;1;0.2046964168548584;0.0;0.0;0.0
13;-1.0;1;0.20424509048461914;0.0;0.0;0.0
14;-1.0;1;0.20527362823486328;0.0;0.0;0.0
15;-1.0;1;0.20473575592041016;0.0;0.0;0.0
16;-1.17;2;0.40888500213623047;0.0;0.0;0.0
17;-1.0;1;0.20573139190673828;0.0;0.0;0.0
18;-1.0;1;0.2044517993927002;0.0;0.0;0.0
19;-0.19000000000000028;8;1.6298730373382568;50.0;0.0;0.0
20;-1.0;1;0.20549702644348145;0.0;0.0;0.0
