episode;score;step;time;apples;mines;end
1;-0.8699999999999997;12;2.5386974811553955;0.0;0.0;100.0
2;-1.4199999999999995;13;2.640878915786743;0.0;0.0;100.0
3;-0.20999999999999996;14;2.849245071411133;33.33333333333333;0.0;100.0
4;-0.9299999999999995;16;3.2505722045898438;33.33333333333333;0.0;100.0
5;0.009999999999999787;20;4.065960884094238;60.0;0.0;100.0
6;0.4499999999999996;16;3.253730058670044;66.66666666666666;0.0;100.0
7;-0.9899999999999998;20;4.065785646438599;66.66666666666666;0.0;100.0
8;0.9599999999999997;13;2.6459238529205322;40.0;0.0;100.0
9;-0.76;15;3.046196222305298;33.33333333333333;0.0;100.0
10;1.2399999999999998;15;3.0565648078918457;75.0;0.0;100.0
11;0.06999999999999973;16;3.254668712615967;40.0;0.0;100.0
12;-0.55;16;3.2602717876434326;33.33333333333333;0.0;100.0
13;-0.6099999999999999;20;4.075387716293335;40.0;0.0;100.0
14;0.10999999999999954;18;3.667621374130249;40.0;0.0;100.0
15;0.06999999999999984;16;3.251646041870117;40.0;0.0;100.0
16;0.23999999999999988;15;3.048877477645874;66.66666666666666;0.0;100.0
17;-0.9299999999999997;16;3.2634024620056152;25.0;0.0;100.0
18;0.7299999999999995;18;3.6647400856018066;75.0;0.0;100.0
19;0.4499999999999996;16;3.2574684619903564;50.0;0.0;100.0
20;0.4499999999999996;16;3.258798599243164;50.0;0.0;100.0
