episode;score;step;time;apples;mines;end
1;-0,8699999999999997;12;2,535287618637085;0,0;0,0;100,0
2;-1,0999999999999996;17;3,4634952545166016;33,33333333333333;0,0;100,0
3;-0,20999999999999996;14;2,8515026569366455;33,33333333333333;0,0;100,0
4;-0,9299999999999995;16;3,26041579246521;33,33333333333333;0,0;100,0
5;-0,27;18;3,6670093536376953;40,0;0,0;100,0
6;0,4499999999999996;16;3,2620418071746826;66,66666666666666;0,0;100,0
7;-0,27;18;3,6638121604919434;66,66666666666666;0,0;100,0
8;0,5799999999999997;13;2,649191379547119;40,0;0,0;100,0
9;0,2999999999999998;11;2,245177984237671;33,33333333333333;0,0;100,0
10;-0,10000000000000031;17;3,4659512042999268;50,0;0,0;100,0
11;0,06999999999999973;16;3,2639658451080322;40,0;0,0;100,0
12;-0,55;16;3,2577383518218994;33,33333333333333;0,0;100,0
13;-0,6099999999999999;20;4,078814268112183;40,0;0,0;100,0
14;0,10999999999999954;18;3,6680500507354736;40,0;0,0;100,0
15;0,06999999999999984;16;3,2598249912261963;40,0;0,0;100,0
16;-0,10000000000000009;17;3,4624996185302734;66,66666666666666;0,0;100,0
17;-0,9299999999999997;16;3,260044574737549;25,0;0,0;100,0
18;0,4499999999999996;16;3,2627627849578857;50,0;0,0;100,0
19;0,4499999999999996;16;3,260995626449585;50,0;0,0;100,0
20;0,4499999999999996;16;3,2588675022125244;50,0;0,0;100,0
