episode;score;step;time;apples;mines;end
1;-1.0;1;0.30606746673583984;0.0;0.0;0.0
2;-1.0;1;0.2039797306060791;0.0;0.0;0.0
3;-1.0;1;0.2047727108001709;0.0;0.0;0.0
4;-1.0;1;0.2048180103302002;0.0;0.0;0.0
5;-1.0;1;0.20456600189208984;0.0;0.0;0.0
6;-1.1900000000000002;8;1.6304473876953125;33.33333333333333;0.0;0.0
7;-1.0;1;0.2051527500152588;0.0;0.0;0.0
8;-1.0;1;0.20522236824035645;0.0;0.0;0.0
9;-1.0;1;0.20427513122558594;0.0;0.0;0.0
10;-1.0;1;0.20514154434204102;0.0;0.0;0.0
11;-1.0;1;0.20624852180480957;0.0;0.0;0.0
12;-1.0;1;0.20434808731079102;0.0;0.0;0.0
13;-1.0;1;0.20421695709228516;0.0;0.0;0.0
14;-1.0;1;0.20487165451049805;0.0;0.0;0.0
15;-1.0;1;0.20431780815124512;0.0;0.0;0.0
16;-1.0;1;0.20451903343200684;0.0;0.0;0.0
17;-1.0;1;0.20551705360412598;0.0;0.0;0.0
18;-1.0;1;0.2048940658569336;0.0;0.0;0.0
19;-0.8500000000000002;6;1.2223689556121826;25.0;0.0;0.0
20;-1.0;1;0.2048962116241455;0.0;0.0;0.0
