episode;score;step;time;apples;mines;end
1;-1.0;1;0.3012881278991699;0.0;0.0;0.0
2;-1.0;1;0.2036585807800293;0.0;0.0;0.0
3;-1.0;1;0.20422101020812988;0.0;0.0;0.0
4;-1.0;1;0.2042255401611328;0.0;0.0;0.0
5;-1.0;1;0.2057476043701172;0.0;0.0;0.0
6;-1.0;1;0.20529580116271973;0.0;0.0;0.0
7;-1.0;1;0.20452141761779785;0.0;0.0;0.0
8;-1.0;1;0.20484328269958496;0.0;0.0;0.0
9;-1.0;1;0.20414328575134277;0.0;0.0;0.0
10;-1.0;1;0.2047133445739746;0.0;0.0;0.0
11;-1.0;1;0.20430946350097656;0.0;0.0;0.0
12;-1.0;1;0.204606294631958;0.0;0.0;0.0
13;-1.0;1;0.2043447494506836;0.0;0.0;0.0
14;-1.0;1;0.20551252365112305;0.0;0.0;0.0
15;-1.0;1;0.20450329780578613;0.0;0.0;0.0
16;-1.0;1;0.20404648780822754;0.0;0.0;0.0
17;-1.0;1;0.20361876487731934;0.0;0.0;0.0
18;-1.0;1;0.20395517349243164;0.0;0.0;0.0
19;-1.0;1;0.2051405906677246;0.0;0.0;0.0
20;-1.0;1;0.2056276798248291;0.0;0.0;0.0
