episode;score;step;time;apples;mines;end
1;1,1949999999999998;31;28,045035123825073;100,0;0,0;100,0
2;1,1949999999999998;31;21,382745027542114;100,0;0,0;100,0
3;1,1949999999999998;31;19,335285663604736;100,0;0,0;100,0
4;1,1199999999999999;36;25,41004204750061;100,0;0,0;100,0
5;1,4549999999999996;28;23,077826976776123;100,0;0,0;100,0
6;1,5799999999999996;34;23,61327838897705;100,0;0,0;100,0
7;1,4099999999999997;31;19,248388051986694;100,0;0,0;100,0
8;1,2099999999999997;30;19,030366897583008;100,0;0,0;100,0
9;-0,5950000000000001;19;16,414633989334106;100,0;33,33333333333333;0,0
10;1,5;25;18,81201410293579;100,0;0,0;100,0
11;-1,8399999999999999;8;7,523259878158569;0,0;0,0;0,0
12;1,3599999999999999;20;20,50963592529297;60,0;0,0;100,0
13;0,5399999999999998;40;31,49847674369812;100,0;0,0;100,0
14;1,3049999999999997;38;31,16760277748108;100,0;0,0;100,0
15;1,1649999999999998;33;24,90305471420288;100,0;0,0;100,0
16;1,2249999999999999;29;22,547913074493408;100,0;0,0;100,0
17;0,6599999999999997;32;21,61292815208435;100,0;0,0;100,0
18;1,52;38;22,84291362762451;100,0;0,0;100,0
19;1,2249999999999999;29;15,755847930908203;100,0;0,0;100,0
20;0,3999999999999998;35;19,50961685180664;100,0;0,0;100,0
