episode;score;step;time;apples;mines;end
1;-0,8699999999999997;12;13,156100988388062;0,0;0,0;100,0
2;-0,6999999999999997;11;11,650234937667847;0,0;0,0;100,0
3;-0,5499999999999996;16;14,136414289474487;33,33333333333333;0,0;100,0
4;-0,5499999999999998;16;13,77570104598999;33,33333333333333;0,0;100,0
5;-1,609999999999999;20;18,952128887176514;20,0;0,0;100,0
6;0,12999999999999967;12;9,495649099349976;33,33333333333333;0,0;100,0
7;-0,2300000000000002;20;15,263011932373047;66,66666666666666;0,0;100,0
8;0,9399999999999995;19;17,3028302192688;60,0;0,0;100,0
9;0,2999999999999998;11;10,437896251678467;33,33333333333333;0,0;100,0
10;0,9399999999999997;19;15,015047073364258;75,0;0,0;100,0
11;0,10999999999999976;18;12,776344060897827;40,0;0,0;100,0
12;-0,8899999999999997;18;15,448194980621338;33,33333333333333;0,0;100,0
13;0,10999999999999976;18;14,499581813812256;40,0;0,0;100,0
14;0,10999999999999954;18;15,752012014389038;40,0;0,0;100,0
15;-1,5499999999999994;16;13,784582138061523;0,0;0,0;100,0
16;-0,6999999999999997;11;9,1981680393219;0,0;0,0;100,0
17;-0,9299999999999999;16;11,335967302322388;25,0;0,0;100,0
18;0,009999999999999565;20;13,979078769683838;75,0;0,0;100,0
19;1,1099999999999994;18;13,676833629608154;75,0;0,0;100,0
20;0,4499999999999996;16;10,119510889053345;50,0;0,0;100,0
